SampleID	Seqs/Sample	PD_whole_tree Ave.	PD_whole_tree Err.	chao1 Ave.	chao1 Err.	goods_coverage Ave.	goods_coverage Err.	observed_otus Ave.	observed_otus Err.	shannon Ave.	shannon Err.	simpson Ave.	simpson Err.
HA1	2.0	0.886	nan	3.000	nan	0.000	nan	2.000	nan	1.000	nan	0.500	nan
HA1	485.0	11.369	nan	165.680	nan	0.905	nan	115.500	nan	6.098	nan	0.979	nan
HA1	968.0	13.449	nan	202.692	nan	0.946	nan	154.600	nan	6.289	nan	0.980	nan
HA1	1451.0	14.246	nan	216.654	nan	0.966	nan	170.200	nan	6.299	nan	0.980	nan
HA1	1934.0	15.019	nan	236.063	nan	0.974	nan	189.100	nan	6.351	nan	0.980	nan
HA1	2417.0	15.409	nan	237.115	nan	0.981	nan	197.600	nan	6.362	nan	0.980	nan
HA1	2900.0	15.819	nan	246.765	nan	0.984	nan	206.400	nan	6.378	nan	0.981	nan
HA1	3383.0	16.084	nan	259.412	nan	0.986	nan	215.100	nan	6.398	nan	0.981	nan
HA1	3866.0	16.293	nan	259.081	nan	0.989	nan	219.400	nan	6.395	nan	0.981	nan
HA1	4349.0	16.535	nan	267.968	nan	0.990	nan	225.300	nan	6.404	nan	0.981	nan
HA1	4832.0	16.627	nan	267.123	nan	0.991	nan	229.200	nan	6.407	nan	0.981	nan
HA2	2.0	0.908	nan	2.800	nan	0.100	nan	1.900	nan	0.900	nan	0.450	nan
HA2	485.0	10.200	nan	173.754	nan	0.889	nan	99.400	nan	4.516	nan	0.844	nan
HA2	968.0	12.893	nan	205.447	nan	0.936	nan	139.900	nan	4.650	nan	0.843	nan
HA2	1451.0	14.012	nan	232.587	nan	0.954	nan	163.000	nan	4.640	nan	0.841	nan
HA2	1934.0	14.941	nan	239.503	nan	0.968	nan	181.200	nan	4.717	nan	0.845	nan
HA2	2417.0	16.212	nan	251.483	nan	0.974	nan	198.800	nan	4.741	nan	0.846	nan
HA2	2900.0	16.733	nan	260.632	nan	0.978	nan	209.900	nan	4.751	nan	0.847	nan
HA2	3383.0	17.326	nan	271.138	nan	0.982	nan	221.500	nan	4.766	nan	0.845	nan
HA2	3866.0	17.716	nan	283.069	nan	0.984	nan	229.400	nan	4.777	nan	0.846	nan
HA2	4349.0	17.979	nan	289.858	nan	0.986	nan	235.000	nan	4.784	nan	0.845	nan
HA2	4832.0	18.447	nan	287.615	nan	0.988	nan	242.100	nan	4.791	nan	0.847	nan
HA5	2.0	0.931	nan	3.000	nan	0.000	nan	2.000	nan	1.000	nan	0.500	nan
HA5	485.0	10.449	nan	180.381	nan	0.884	nan	108.000	nan	5.098	nan	0.931	nan
HA5	968.0	13.290	nan	219.632	nan	0.936	nan	145.600	nan	5.148	nan	0.927	nan
HA5	1451.0	14.706	nan	225.418	nan	0.958	nan	168.900	nan	5.206	nan	0.928	nan
HA5	1934.0	15.960	nan	250.406	nan	0.968	nan	188.800	nan	5.251	nan	0.929	nan
HA5	2417.0	17.112	nan	267.890	nan	0.973	nan	206.900	nan	5.301	nan	0.929	nan
HA5	2900.0	17.641	nan	271.629	nan	0.979	nan	218.000	nan	5.309	nan	0.929	nan
HA5	3383.0	18.058	nan	286.827	nan	0.982	nan	226.400	nan	5.309	nan	0.929	nan
HA5	3866.0	18.478	nan	278.087	nan	0.985	nan	230.900	nan	5.294	nan	0.928	nan
HA5	4349.0	18.928	nan	291.495	nan	0.987	nan	238.800	nan	5.333	nan	0.929	nan
HA5	4832.0	19.006	nan	290.461	nan	0.989	nan	242.400	nan	5.319	nan	0.929	nan
HA7	2.0	0.898	nan	2.800	nan	0.100	nan	1.900	nan	0.900	nan	0.450	nan
HA7	485.0	7.459	nan	125.836	nan	0.924	nan	67.100	nan	3.939	nan	0.846	nan
HA7	968.0	9.602	nan	157.609	nan	0.952	nan	91.800	nan	3.980	nan	0.847	nan
HA7	1451.0	10.940	nan	172.208	nan	0.966	nan	111.900	nan	3.999	nan	0.844	nan
HA7	1934.0	11.496	nan	181.414	nan	0.975	nan	121.100	nan	4.008	nan	0.843	nan
HA7	2417.0	12.525	nan	210.231	nan	0.977	nan	136.500	nan	4.060	nan	0.848	nan
HA7	2900.0	12.871	nan	199.995	nan	0.982	nan	142.600	nan	4.049	nan	0.846	nan
HA7	3383.0	13.425	nan	210.120	nan	0.984	nan	151.800	nan	4.072	nan	0.847	nan
HA7	3866.0	13.939	nan	218.984	nan	0.986	nan	158.800	nan	4.087	nan	0.848	nan
HA7	4349.0	14.449	nan	232.284	nan	0.987	nan	166.500	nan	4.090	nan	0.847	nan
HA7	4832.0	14.413	nan	220.840	nan	0.989	nan	170.700	nan	4.088	nan	0.848	nan
HA8	2.0	0.950	nan	2.400	nan	0.300	nan	1.700	nan	0.700	nan	0.350	nan
HA8	485.0	6.685	nan	125.187	nan	0.933	nan	56.200	nan	3.287	nan	0.779	nan
HA8	968.0	8.644	nan	141.553	nan	0.957	nan	79.200	nan	3.335	nan	0.778	nan
HA8	1451.0	9.534	nan	148.920	nan	0.970	nan	94.600	nan	3.404	nan	0.783	nan
HA8	1934.0	10.907	nan	174.827	nan	0.973	nan	109.100	nan	3.374	nan	0.779	nan
HA8	2417.0	11.912	nan	197.597	nan	0.977	nan	123.600	nan	3.408	nan	0.779	nan
HA8	2900.0	12.834	nan	207.435	nan	0.980	nan	136.300	nan	3.453	nan	0.783	nan
HA8	3383.0	13.188	nan	203.840	nan	0.983	nan	142.000	nan	3.448	nan	0.782	nan
HA8	3866.0	13.407	nan	199.464	nan	0.986	nan	147.800	nan	3.428	nan	0.779	nan
HA8	4349.0	13.835	nan	218.054	nan	0.987	nan	152.400	nan	3.409	nan	0.779	nan
HA8	4832.0	14.201	nan	213.902	nan	0.988	nan	161.700	nan	3.467	nan	0.783	nan
HE1	2.0	0.742	nan	2.600	nan	0.200	nan	1.800	nan	0.800	nan	0.400	nan
HE1	485.0	6.721	nan	139.772	nan	0.922	nan	67.100	nan	3.987	nan	0.857	nan
HE1	968.0	8.856	nan	165.338	nan	0.951	nan	95.700	nan	4.100	nan	0.860	nan
HE1	1451.0	10.392	nan	195.774	nan	0.962	nan	117.000	nan	4.140	nan	0.860	nan
HE1	1934.0	10.664	nan	206.951	nan	0.971	nan	130.300	nan	4.139	nan	0.861	nan
HE1	2417.0	11.929	nan	211.308	nan	0.976	nan	142.800	nan	4.167	nan	0.861	nan
HE1	2900.0	12.564	nan	235.607	nan	0.979	nan	153.100	nan	4.178	nan	0.862	nan
HE1	3383.0	13.087	nan	243.476	nan	0.982	nan	163.800	nan	4.174	nan	0.860	nan
HE1	3866.0	13.475	nan	244.671	nan	0.984	nan	172.900	nan	4.208	nan	0.862	nan
HE1	4349.0	14.037	nan	263.794	nan	0.985	nan	182.100	nan	4.210	nan	0.862	nan
HE1	4832.0	14.273	nan	258.518	nan	0.986	nan	188.100	nan	4.206	nan	0.861	nan
HE2	2.0	0.849	nan	2.600	nan	0.200	nan	1.800	nan	0.800	nan	0.400	nan
HE2	485.0	6.397	nan	114.617	nan	0.933	nan	60.800	nan	3.833	nan	0.857	nan
HE2	968.0	8.992	nan	163.193	nan	0.951	nan	92.900	nan	4.027	nan	0.865	nan
HE2	1451.0	10.421	nan	181.462	nan	0.965	nan	108.800	nan	4.041	nan	0.866	nan
HE2	1934.0	11.408	nan	203.518	nan	0.971	nan	121.900	nan	4.008	nan	0.862	nan
HE2	2417.0	12.105	nan	213.577	nan	0.975	nan	135.600	nan	4.054	nan	0.864	nan
HE2	2900.0	13.080	nan	237.436	nan	0.977	nan	151.000	nan	4.072	nan	0.864	nan
HE2	3383.0	13.955	nan	260.697	nan	0.979	nan	164.600	nan	4.114	nan	0.866	nan
HE2	3866.0	14.444	nan	252.723	nan	0.982	nan	173.100	nan	4.080	nan	0.864	nan
HE2	4349.0	14.934	nan	265.417	nan	0.983	nan	181.100	nan	4.094	nan	0.865	nan
HE2	4832.0	15.418	nan	280.185	nan	0.984	nan	189.300	nan	4.109	nan	0.865	nan
HE4	2.0	0.739	nan	2.600	nan	0.200	nan	1.800	nan	0.800	nan	0.400	nan
HE4	485.0	7.924	nan	136.747	nan	0.916	nan	76.200	nan	4.197	nan	0.885	nan
HE4	968.0	9.899	nan	161.966	nan	0.950	nan	106.700	nan	4.314	nan	0.889	nan
HE4	1451.0	11.382	nan	190.166	nan	0.963	nan	128.900	nan	4.360	nan	0.888	nan
HE4	1934.0	12.360	nan	211.149	nan	0.971	nan	143.400	nan	4.366	nan	0.887	nan
HE4	2417.0	13.046	nan	209.508	nan	0.977	nan	157.900	nan	4.415	nan	0.888	nan
HE4	2900.0	13.627	nan	226.416	nan	0.980	nan	165.800	nan	4.389	nan	0.887	nan
HE4	3383.0	14.185	nan	244.146	nan	0.982	nan	176.700	nan	4.401	nan	0.886	nan
HE4	3866.0	14.473	nan	250.941	nan	0.984	nan	184.600	nan	4.435	nan	0.888	nan
HE4	4349.0	15.190	nan	255.132	nan	0.986	nan	193.100	nan	4.420	nan	0.887	nan
HE4	4832.0	15.383	nan	260.639	nan	0.987	nan	197.100	nan	4.434	nan	0.888	nan
HE5	2.0	0.971	nan	2.800	nan	0.100	nan	1.900	nan	0.900	nan	0.450	nan
HE5	485.0	10.190	nan	176.838	nan	0.893	nan	105.000	nan	5.365	nan	0.948	nan
HE5	968.0	13.076	nan	219.961	nan	0.932	nan	150.300	nan	5.502	nan	0.949	nan
HE5	1451.0	14.648	nan	239.705	nan	0.954	nan	174.300	nan	5.568	nan	0.951	nan
HE5	1934.0	15.822	nan	266.338	nan	0.963	nan	197.500	nan	5.623	nan	0.951	nan
HE5	2417.0	16.604	nan	280.293	nan	0.971	nan	212.800	nan	5.644	nan	0.952	nan
HE5	2900.0	17.094	nan	284.280	nan	0.977	nan	224.500	nan	5.662	nan	0.951	nan
HE5	3383.0	17.501	nan	292.280	nan	0.980	nan	235.300	nan	5.671	nan	0.951	nan
HE5	3866.0	18.056	nan	303.766	nan	0.983	nan	244.100	nan	5.680	nan	0.951	nan
HE5	4349.0	18.474	nan	309.808	nan	0.985	nan	255.100	nan	5.694	nan	0.951	nan
HE5	4832.0	18.649	nan	310.284	nan	0.987	nan	259.100	nan	5.693	nan	0.952	nan
HE7	2.0	0.779	nan	3.000	nan	0.000	nan	2.000	nan	1.000	nan	0.500	nan
