group	value
Genetic 1	2.225364677
Genetic 1	1.413449799
Genetic 1	1.586913361
Genetic 1	2.08906958
Genetic 1	1.788445744
Genetic 1	1.120950393
Genetic 1	1.824496548
Genetic 1	2.111627389
Genetic 1	1.77522804
Genetic 1	2.174415298
Genetic 1	0.812872436
Genetic 1	1.898926789
Genetic 1	1.910523307
Genetic 1	1.902582085
Genetic 1	1.12753479
Genetic 1	1.850950282
Genetic 1	1.333791747
Genetic 1	1.571647364
Genetic 1	1.889678934
Genetic 1	1.33425692
Genetic 1	1.960386381
Genetic 1	2.210739194
Genetic 1	2.05830619
Genetic 1	0.693147181
Genetic 1	1.879360299
Genetic 1	0.655975732
Genetic 1	1.487352411
Genetic 1	2.078994686
Genetic 1	2.123328858
Genetic 1	1.840748729
Genetic 1	1.517106179
Genetic 1	1.839712505
Genetic 1	1.743401424
Genetic 1	2.015346097
Genetic 1	2.146530024
Genetic 1	1.530466663
Genetic 1	1.847867504
Genetic 1	1.740185346
Genetic 1	1.756489126
Genetic 1	1.851180303
Genetic 1	1.360353034
Genetic 1	1.986490306
Genetic 1	1.676057095
Genetic 1	1.364858643
Genetic 1	1.780838378
Genetic 1	2.168841085
Genetic 1	1.087204839
Genetic 1	1.386294361
Genetic 1	1.704428893
Genetic 1	1.364159573
Genetic 1	2.024107194
Genetic 1	1.736648083
Genetic 1	1.82815182
Genetic 1	1.481569135
Genetic 1	2.009420644
Genetic 1	0.598269589
Genetic 1	1.763201571
Genetic 1	0.788688124
Genetic 1	2.13363536
Genetic 1	2.190134632
Genetic 1	1.522955068
Genetic 1	2.174237886
Genetic 1	1.46997844
Genetic 1	2.092475359
Genetic 1	1.553040837
Genetic 1	0.086834825
Genetic 1	1.873510521
Genetic 1	2.199547916
Genetic 1	1.188530247
Genetic 1	2.093038124
Genetic 1	1.764497695
Genetic 1	1.630799105
Genetic 1	1.950680385
Genetic 1	1.751793163
Genetic 1	1.991509361
Genetic 1	1.412411279
Genetic 1	1.819018828
Genetic 1	1.976135323
Genetic 1	2.025777269
Genetic 1	2.193883905
Genetic 1	2.182978505
Genetic 1	1.437442731
Genetic 1	2.11419017
Genetic 1	1.520694699
Genetic 1	1.254903088
Genetic 1	1.555882219
Genetic 1	1.851413463
Genetic 1	1.109707011
Genetic 1	2.184058955
Genetic 1	2.178562336
Genetic 1	1.942945
Genetic 1	2.18519839
Genetic 1	1.630492744
Genetic 1	1.039720771
Genetic 1	2.211318365
Genetic 1	1.333020622
Genetic 1	1.84028395
Genetic 1	2.161416151
Genetic 1	2.034871333
Genetic 1	1.859035302
Genetic 1	1.660464251
Genetic 1	1.176174156
Genetic 1	1.6060414
Genetic 1	2.093352388
Genetic 1	1.481676756
Genetic 1	1.094833822
Genetic 1	1.751027462
Genetic 1	1.443701015
Genetic 1	1.750438022
Genetic 1	1.524707393
Genetic 1	1.910459196
Genetic 1	1.479970254
Genetic 1	2.12043991
Genetic 1	2.098346595
Genetic 1	0.990892276
Genetic 1	1.848777362
Genetic 1	2.070553368
Genetic 1	1.969243431
Genetic 1	1.950958162
Genetic 1	2.041290463
Genetic 1	0.829947328
Genetic 1	2.113421086
Genetic 1	1.020316989
Genetic 1	1.76430276
Genetic 1	1.416027912
Genetic 1	1.329661349
Genetic 1	1.046417524
Genetic 1	1.991627738
Genetic 1	1.669963023
Genetic 1	1.467507029
Genetic 1	2.052780712
Genetic 1	0.973689556
Genetic 1	1.088015608
Genetic 1	1.671192989
Genetic 1	2.218721986
Genetic 1	1.659568841
Genetic 1	1.904046527
Genetic 1	1.46331016
Genetic 1	1.450463192
Genetic 1	0.951668517
Genetic 1	1.03827084
Genetic 1	2.047320092
Genetic 1	1.80474849
Genetic 1	1.6176668
Genetic 1	1.758015089
Genetic 1	1.997612198
Genetic 1	1.718760603
Genetic 1	1.957074293
Genetic 1	1.754200546
Genetic 1	2.135537232
Genetic 1	2.208897067
Genetic 1	2.104903502
Genetic 1	2.215641129
Genetic 1	2.045322031
Genetic 1	0.475098527
Genetic 1	0.693147181
Genetic 1	2.002088057
