taxa	organ	pond	value
Acidimicrobiia	Gut	Pond 1 (G1)	0.011085412
Actinobacteria	Gut	Pond 1 (G1)	0.035568398
Nitriliruptoria	Gut	Pond 1 (G1)	0.000480177
Bacteroidia	Gut	Pond 1 (G1)	0.004563504
Cytophagia	Gut	Pond 1 (G1)	0.003364975
Flavobacteriia	Gut	Pond 1 (G1)	0.002330113
Anaerolineae	Gut	Pond 1 (G1)	0.001835827
Ellin6529	Gut	Pond 1 (G1)	0.00054335
Chloroplast	Gut	Pond 1 (G1)	0.151700315
Gloeobacterophycideae	Gut	Pond 1 (G1)	0.000996842
ML635J-21	Gut	Pond 1 (G1)	0.005469925
Nostocophycideae	Gut	Pond 1 (G1)	0.000607571
Oscillatoriophycideae	Gut	Pond 1 (G1)	0.143464732
Synechococcophycideae	Gut	Pond 1 (G1)	0.026606753
Bacilli	Gut	Pond 1 (G1)	0.003879439
Clostridia	Gut	Pond 1 (G1)	0.024160983
Fusobacteriia	Gut	Pond 1 (G1)	0.074339398
Gemm-4	Gut	Pond 1 (G1)	0.00038817
OP8_2	Gut	Pond 1 (G1)	0.000185375
Planctomycetia	Gut	Pond 1 (G1)	0.007630659
Alphaproteobacteria	Gut	Pond 1 (G1)	0.032660555
Betaproteobacteria	Gut	Pond 1 (G1)	0.002105209
Deltaproteobacteria	Gut	Pond 1 (G1)	0.017052031
Gammaproteobacteria	Gut	Pond 1 (G1)	0.44395721
Synergistia	Gut	Pond 1 (G1)	0.002217229
Mollicutes	Gut	Pond 1 (G1)	0.001091682
Opitutae	Gut	Pond 1 (G1)	0.000779752
Spartobacteria	Gut	Pond 1 (G1)	0.000511338
Acidimicrobiia	Gut	Pond 2 (G1)	0.003584128
Actinobacteria	Gut	Pond 2 (G1)	0.009218142
Nitriliruptoria	Gut	Pond 2 (G1)	0.000274395
Bacteroidia	Gut	Pond 2 (G1)	0.009229766
Cytophagia	Gut	Pond 2 (G1)	0.001316729
Flavobacteriia	Gut	Pond 2 (G1)	0.00118959
Anaerolineae	Gut	Pond 2 (G1)	0.001895921
Ellin6529	Gut	Pond 2 (G1)	0.000322911
Chloroplast	Gut	Pond 2 (G1)	0.201195028
Gloeobacterophycideae	Gut	Pond 2 (G1)	0.000123719
ML635J-21	Gut	Pond 2 (G1)	0.002673852
Nostocophycideae	Gut	Pond 2 (G1)	0.000186771
Oscillatoriophycideae	Gut	Pond 2 (G1)	0.032558973
Synechococcophycideae	Gut	Pond 2 (G1)	0.009523099
Bacilli	Gut	Pond 2 (G1)	0.002939404
Clostridia	Gut	Pond 2 (G1)	0.001629878
Fusobacteriia	Gut	Pond 2 (G1)	0.054921237
Gemm-4	Gut	Pond 2 (G1)	0.000201511
OP8_2	Gut	Pond 2 (G1)	8.29638E-05
Planctomycetia	Gut	Pond 2 (G1)	0.004238329
Alphaproteobacteria	Gut	Pond 2 (G1)	0.013378989
Betaproteobacteria	Gut	Pond 2 (G1)	0.00034172
Deltaproteobacteria	Gut	Pond 2 (G1)	0.002971234
Gammaproteobacteria	Gut	Pond 2 (G1)	0.644467896
Synergistia	Gut	Pond 2 (G1)	3.31448E-06
Mollicutes	Gut	Pond 2 (G1)	0.000448859
Opitutae	Gut	Pond 2 (G1)	0.000793181
Spartobacteria	Gut	Pond 2 (G1)	0.000214769
Acidimicrobiia	Gut	Pond 3 (G2)	0.002158538
Actinobacteria	Gut	Pond 3 (G2)	0.002941523
