SampleID	Genetic	Pond	Organ	pc1	pc2	pc3
IL8	Gen1	Pond A	Gut	-0.001619296	0.002640745	-0.260332517
IL6	Gen1	Pond A	Gut	0.070736748	0.155942572	-0.031486884
IL4	Gen1	Pond A	Gut	0.222841454	0.089057955	0.053116482
IL3	Gen1	Pond A	Gut	0.027911141	0.211939052	-0.033276819
IL2	Gen1	Pond A	Gut	0.127608077	0.108871789	-0.038640918
IL1	Gen1	Pond A	Gut	0.034085233	-0.268430312	-0.103333295
IA9	Gen2	Pond C	Gut	0.104311684	0.105024543	0.094516671
IA8	Gen2	Pond C	Gut	0.117754158	-0.268483389	0.060398753
IA7	Gen2	Pond C	Gut	0.13373573	-0.010999042	0.088306541
IA5	Gen2	Pond C	Gut	0.269290124	-0.153171384	-0.140032713
IA4	Gen2	Pond C	Gut	0.218858261	0.035202685	-0.072254777
IA3	Gen2	Pond C	Gut	0.01051819	-0.070162699	0.206256054
IA2	Gen2	Pond C	Gut	0.205044972	-0.181971013	0.114787103
HL7	Gen1	Pond A	Hepatopancreas	-0.100487568	0.150361977	-0.04171525
HL5	Gen1	Pond A	Hepatopancreas	-0.078970359	0.112372696	0.133682202
HL4	Gen1	Pond A	Hepatopancreas	-0.117784351	-0.008396971	0.085813197
HL2	Gen1	Pond A	Hepatopancreas	-0.10767822	0.163930908	0.008137365
HL1	Gen1	Pond A	Hepatopancreas	-0.333245168	-0.218596808	-0.0041721
HA8	Gen2	Pond C	Hepatopancreas	-0.235865229	-0.132640241	-0.028277542
HA7	Gen2	Pond C	Hepatopancreas	-0.239060656	-0.059605313	-0.011418875
HA5	Gen2	Pond C	Hepatopancreas	-0.06663526	0.084278535	-0.089234311
HA2	Gen2	Pond C	Hepatopancreas	-0.13522694	0.071386561	-0.017039623
HA1	Gen2	Pond C	Hepatopancreas	-0.126122725	0.081447154	0.026201255
