group	value
Genetic 1	1.111507204
Genetic 1	1.768877978
Genetic 1	1.406265822
Genetic 1	1.662304193
Genetic 1	1.320589532
Genetic 1	1.894367859
Genetic 1	1.79582
Genetic 1	1.911408982
Genetic 1	1.766272466
Genetic 1	1.274117609
Genetic 1	0.916892895
Genetic 1	1.888126361
Genetic 1	1.648220258
Genetic 1	1.776846605
Genetic 1	1.601080039
Genetic 1	1.743189969
Genetic 1	1.037392325
Genetic 1	1.20565767
Genetic 1	1.607107408
Genetic 1	1.417949889
Genetic 1	1.159255294
Genetic 1	2.014974493
Genetic 1	1.595318066
Genetic 1	1.948644187
Genetic 1	1.712211985
Genetic 1	1.09440863
Genetic 1	1.891327496
Genetic 1	1.405908142
Genetic 1	1.849283694
Genetic 1	0.891097944
Genetic 1	1.098612289
Genetic 1	1.123440277
Genetic 1	1.914248503
Genetic 1	1.956709054
Genetic 1	1.786412983
Genetic 1	0.996711661
Genetic 1	1.862638585
Genetic 1	1.818557044
Genetic 1	1.53503677
Genetic 1	0.08121541
Genetic 1	1.50706649
Genetic 1	1.848416546
Genetic 1	1.688149572
Genetic 1	1.853708232
Genetic 1	1.420565822
Genetic 1	1.198849313
Genetic 1	1.118367679
Genetic 1	1.697529853
Genetic 1	1.233680948
Genetic 1	1.410969796
Genetic 1	1.736689987
Genetic 1	1.659981372
Genetic 1	1.517002839
Genetic 1	1.163055536
Genetic 1	1.340123201
Genetic 1	1.793519957
Genetic 1	1.573675107
Genetic 1	0.983987807
Genetic 1	1.932437039
Genetic 1	1.846387326
Genetic 1	0.777140996
Genetic 1	1.791011528
Genetic 1	1.05886781
Genetic 1	2.213779478
Genetic 1	1.457851116
Genetic 1	1.756786797
Genetic 1	1.869489812
Genetic 1	1.004242473
Genetic 1	1.63820838
Genetic 1	1.13984534
Genetic 1	1.794461169
Genetic 1	1.343763635
Genetic 1	1.793880754
Genetic 1	1.627656568
Genetic 1	2.054104536
Genetic 1	1.703185213
Genetic 1	1.559445695
Genetic 1	1.040850024
Genetic 1	1.332613301
Genetic 1	2.0430427
Genetic 1	1.463308454
Genetic 1	1.375429764
Genetic 1	1.393930037
Genetic 1	1.804713916
Genetic 1	1.180414078
Genetic 1	1.836233313
Genetic 1	1.476386433
Genetic 1	0.995187858
Genetic 1	1.674200343
Genetic 1	2.006363892
Genetic 1	1.476084378
Genetic 1	0.917053168
Genetic 1	1.585461964
Genetic 1	1.702210435
Genetic 1	1.576250613
Genetic 1	2.067048322
Genetic 1	1.487276336
Genetic 1	1.76848593
