sample	group	average
IL1	Genetic 1	0.863258122
IL2	Genetic 1	0.405315616
IL3	Genetic 1	0.252866246
IL4	Genetic 1	0.031582587
IL6	Genetic 1	0.25293438
IL8	Genetic 1	0.45332067
IA2	Genetic 2	0.710669601
IA3	Genetic 2	0.858275192
IA4	Genetic 2	0.078695245
IA5	Genetic 2	0.12013343
IA7	Genetic 2	0.145451191
IA8	Genetic 2	0.278743153
IA9	Genetic 2	0.063660958
