sample	group	average
IL1	Genetic 1	0.003659757
IL2	Genetic 1	0.003820598
IL3	Genetic 1	0.004391071
IL4	Genetic 1	0.00061827
IL6	Genetic 1	0.002829249
IL8	Genetic 1	0.001627891
IA2	Genetic 2	0.003963648
IA3	Genetic 2	0.003230131
IA4	Genetic 2	0.000703538
IA5	Genetic 2	0.000434427
IA7	Genetic 2	0.001263233
IA8	Genetic 2	0.001012338
IA9	Genetic 2	0.000628406
