SampleID	Genetic	pc1(0.330810098689282)	pc2(0.204193931376161)
HL7	Genetic 1 (Gen1)	-0.116286029	0.05372873
HL5	Genetic 1 (Gen1)	-0.146311532	0.104666007
HL4	Genetic 1 (Gen1)	-0.056393328	0.157068358
HL2	Genetic 1 (Gen1)	-0.150228483	0.040382222
HL1	Genetic 1 (Gen1)	0.279093484	0.202676667
HA8	Genetic 2 (Gen2)	0.23082831	-0.090996178
HA1	Genetic 2 (Gen2)	-0.037803146	-0.146683123
HA2	Genetic 2 (Gen2)	-0.066433802	-0.100010559
HA5	Genetic 2 (Gen2)	-0.103598233	-0.09472054
HA7	Genetic 2 (Gen2)	0.167132759	-0.126111584
