SampleID	Genetic	pc1(0.255589576737871)	pc2(0.196375560338711)
IL8	Genetic 1 (Gen1)	-0.008508812	0.111208537
IL6	Genetic 1 (Gen1)	-0.154200123	0.045089054
IL4	Genetic 1 (Gen1)	-0.085890844	-0.21127377
IL3	Genetic 1 (Gen1)	-0.280151435	0.065696495
IL2	Genetic 1 (Gen1)	-0.172199979	0.017292768
IL1	Genetic 1 (Gen1)	0.218577445	0.287668426
IA9	Genetic 2 (Gen2)	-0.140556932	-0.003239039
IA8	Genetic 2 (Gen2)	0.208005777	0.111720184
IA7	Genetic 2 (Gen2)	-0.055759522	-0.040367121
IA5	Genetic 2 (Gen2)	0.243735432	-0.256545874
IA4	Genetic 2 (Gen2)	-0.053522088	-0.167453879
IA3	Genetic 2 (Gen2)	0.029704054	0.154716814
IA2	Genetic 2 (Gen2)	0.250767028	-0.114512595
