group	value
Genetic 1	2.717371387
Genetic 1	1.333590893
Genetic 1	1.973667714
Genetic 1	2.355621683
Genetic 1	2.399195595
Genetic 1	1.33406029
Genetic 1	2.448736069
Genetic 1	2.218430234
Genetic 1	2.415890723
Genetic 1	2.759449751
Genetic 1	1.852662702
Genetic 1	1.719379535
Genetic 1	2.197479879
Genetic 1	2.651089182
Genetic 1	1.518200267
Genetic 1	1.776034098
Genetic 1	1.922778738
Genetic 1	2.105623055
Genetic 1	2.150148404
Genetic 1	1.746419381
Genetic 1	1.88688997
Genetic 1	2.689365192
Genetic 1	2.267855928
Genetic 1	1.029203009
Genetic 1	2.415487524
Genetic 1	1.500358001
Genetic 1	1.55865435
Genetic 1	2.287952667
Genetic 1	2.52245278
Genetic 1	1.616632416
Genetic 1	2.464730871
Genetic 1	1.950960079
Genetic 1	2.422148327
Genetic 1	1.883534743
Genetic 1	2.503103916
Genetic 1	2.342424724
Genetic 1	2.364702429
Genetic 1	2.587586948
Genetic 1	1.697239368
Genetic 1	2.403012439
Genetic 1	2.303166713
Genetic 1	1.85896713
Genetic 1	2.334421054
Genetic 1	2.246438327
Genetic 1	2.221684343
Genetic 1	1.385656355
Genetic 1	2.21467175
Genetic 1	1.52946409
Genetic 1	2.191090263
Genetic 1	2.180091465
Genetic 1	2.149701473
Genetic 1	1.842696338
Genetic 1	2.075947574
Genetic 1	2.341022918
Genetic 1	2.577257121
Genetic 1	1.965792309
Genetic 1	2.385164236
Genetic 1	1.511060718
Genetic 1	2.638002974
Genetic 1	2.706039767
Genetic 1	1.740553973
Genetic 1	2.384149678
Genetic 1	2.305164565
Genetic 1	1.821034619
Genetic 1	1.971762234
Genetic 1	1.326673313
Genetic 1	2.200371652
Genetic 1	2.436042083
Genetic 1	2.301360901
Genetic 1	2.489230975
Genetic 1	2.326720738
Genetic 1	1.840223941
Genetic 1	2.474424511
Genetic 1	1.888396199
Genetic 1	1.939185899
Genetic 1	2.159550184
Genetic 1	2.310971714
Genetic 1	2.177690106
Genetic 1	2.146187391
Genetic 1	2.330324374
Genetic 1	2.337628078
Genetic 1	2.203480831
Genetic 1	1.868668969
Genetic 1	2.20854441
Genetic 1	2.290837958
Genetic 1	2.178899564
Genetic 1	2.515676341
Genetic 1	1.671856607
Genetic 1	2.854358208
Genetic 1	2.647211931
Genetic 1	2.4051157
Genetic 1	2.297493757
Genetic 1	2.105935513
Genetic 1	0.12857773
Genetic 1	2.678836996
Genetic 1	1.603717307
Genetic 1	2.332107698
Genetic 1	2.530004174
Genetic 1	1.556274827
Genetic 1	2.384785014
Genetic 1	2.442556048
Genetic 1	2.024865686
Genetic 1	2.21591512
Genetic 1	2.649058979
Genetic 1	1.821836527
Genetic 1	2.142855562
Genetic 1	1.121391824
Genetic 1	2.090622902
Genetic 1	1.146965641
Genetic 1	1.411450154
Genetic 1	2.10133276
Genetic 1	2.476940101
Genetic 1	2.269338117
Genetic 1	2.486741042
Genetic 1	1.760085533
Genetic 1	1.667474016
Genetic 1	2.454350863
Genetic 1	2.45096092
Genetic 1	2.223092544
Genetic 1	2.506818641
Genetic 1	2.263567206
Genetic 1	1.505790256
Genetic 1	1.551859949
Genetic 1	1.964816234
Genetic 1	2.410062922
Genetic 1	2.164220077
Genetic 1	0.975616423
Genetic 1	2.143144369
Genetic 1	2.565003739
Genetic 1	2.075373295
Genetic 1	2.291325275
Genetic 1	2.053100816
Genetic 1	1.676702727
Genetic 1	1.304714158
Genetic 1	2.264868548
Genetic 1	2.429264085
Genetic 1	2.388716218
Genetic 1	1.84332477
Genetic 1	1.968670457
Genetic 1	2.138233205
Genetic 1	1.197413513
Genetic 1	1.626829351
Genetic 1	1.657287883
Genetic 1	1.321968223
Genetic 1	2.002615642
Genetic 1	2.419171834
Genetic 1	2.617678833
Genetic 1	2.446680067
Genetic 1	2.45634896
Genetic 1	2.491718417
Genetic 1	2.266101517
Genetic 1	2.691551537
Genetic 1	2.70134967
Genetic 1	2.746138332
Genetic 1	2.239729774
Genetic 1	1.695709641
Genetic 1	0.999130724
Genetic 1	2.232922775
Genetic 1	2.218368576
Genetic 1	0.968959126
Genetic 1	2.606602931
Genetic 1	2.313647238
Genetic 1	1.44213385
Genetic 1	1.715202437
Genetic 1	1.01239244
Genetic 1	2.277757786
Genetic 1	2.656346699
Genetic 1	2.42192959
Genetic 1	1.726447238
Genetic 1	2.612619627
Genetic 1	1.423334918
Genetic 1	2.032282176
Genetic 1	2.272366977
Genetic 1	2.085076034
Genetic 1	2.209673887
Genetic 1	2.161805639
Genetic 1	2.275655643
Genetic 1	2.380801472
Genetic 1	2.13214433
Genetic 1	1.910730082
Genetic 1	2.556315714
Genetic 1	0.648495224
Genetic 1	2.305177974
Genetic 1	1.659622044
Genetic 1	1.081337388
Genetic 1	0.64699471
Genetic 1	2.787908009
Genetic 1	2.699404472
Genetic 1	2.030543179
Genetic 1	2.152656641
Genetic 1	2.109493958
Genetic 1	2.320721691
Genetic 1	2.523276724
Genetic 1	1.998708377
Genetic 1	2.163895989
Genetic 1	2.091284304
Genetic 1	2.175298584
Genetic 1	2.521744711
Genetic 1	2.265197344
Genetic 1	1.146821393
