	P210	P212	1IS	IE9	P2-14	P2-11	IE3	IE2	IE5	IE7	IA9	IA8	IA5	IA4	IA7	P2-9	IA3	IA2	IL6	IE8	IS	P25	P24	IL4	IL2	IL3	IL1	P28	IL8
P210	0.0	0.609527940075	0.616696579276	0.157817097378	0.568331198502	0.489841866417	0.237909207241	0.559828901373	0.407283370787	0.258321947566	0.652493945069	0.450131404494	0.708027621723	0.641490343321	0.594715755306	0.622624151061	0.252702627965	0.258683270911	0.420686498127	0.244053789014	0.610280037453	0.569698177278	0.537798445693	0.688486616729	0.355125873908	0.504836860175	0.246581042447	0.262097752809	0.269438795256
P212	0.609527940075	0.0	0.343763071161	0.668989332085	0.380293220974	0.598954862672	0.558179881398	0.511709413233	0.48409454432	0.532551585518	0.497459188514	0.507302340824	0.551815499376	0.517005786517	0.5112239201	0.273047284644	0.633445611735	0.564402883895	0.444503938826	0.665204600499	0.501452297129	0.507670861423	0.669871217228	0.48393102372	0.490545087391	0.412576248439	0.66692417603	0.402435692884	0.528461891386
1IS	0.616696579276	0.343763071161	0.0	0.701090430712	0.436082084894	0.586785998752	0.603553052434	0.51676505618	0.498693870162	0.540618264669	0.474992858926	0.48386232834	0.558806972534	0.525465024969	0.491941510612	0.222106785268	0.702193726592	0.62811454432	0.428733064919	0.721226260924	0.594074906367	0.529536803995	0.695899531835	0.538670524345	0.509041242197	0.411453102372	0.727567796504	0.528540049938	0.600946460674
IE9	0.157817097378	0.668989332085	0.701090430712	0.0	0.631864363296	0.587189737828	0.226542709114	0.573865374532	0.417058682896	0.275116223471	0.675072453184	0.444887877653	0.732271273408	0.677629575531	0.596164300874	0.700489213483	0.183815480649	0.215314563046	0.427405642946	0.167288601748	0.666619681648	0.604362827715	0.54027360799	0.722018957553	0.358456004994	0.542512034956	0.163601460674	0.341531142322	0.259014456929
P2-14	0.568331198502	0.380293220974	0.436082084894	0.631864363296	0.0	0.613456186017	0.522673876404	0.575550449438	0.542024382022	0.548293770287	0.591366142322	0.563802141074	0.638456373283	0.594977009988	0.583633870162	0.321283102372	0.609765224719	0.562498389513	0.504959394507	0.633077634207	0.49515505618	0.267379238452	0.668411816479	0.599904843945	0.512361966292	0.419993102372	0.632872315855	0.405474019975	0.499926360799
P2-11	0.489841866417	0.598954862672	0.586785998752	0.587189737828	0.613456186017	0.0	0.618350224719	0.714460393258	0.694995299625	0.689011616729	0.656824550562	0.5059043196	0.750060961298	0.721758514357	0.656968770287	0.60508639201	0.676734906367	0.681920505618	0.555280074906	0.673584769039	0.650021991261	0.605672003745	0.205654669164	0.702854038702	0.659270024969	0.627963071161	0.679890424469	0.60831798377	0.596178751561
IE3	0.237909207241	0.558179881398	0.603553052434	0.226542709114	0.522673876404	0.618350224719	0.0	0.467204113608	0.291469694132	0.239124525593	0.58042159176	0.431511872659	0.661417166042	0.593748801498	0.519355786517	0.593747602996	0.265854556804	0.233848982522	0.360060237203	0.290513932584	0.652992790262	0.511267072409	0.620708264669	0.635750630462	0.24211650437	0.402812322097	0.290793620474	0.252314912609	0.144800299625
IE2	0.559828901373	0.511709413233	0.51676505618	0.573865374532	0.575550449438	0.714460393258	0.467204113608	0.0	0.245281073658	0.337534032459	0.21774545568	0.294296323346	0.230253876404	0.16046994382	0.156568838951	0.47007767166	0.534024475655	0.448785393258	0.236485224719	0.564585424469	0.732194369538	0.65868102372	0.719028782772	0.398389088639	0.315664862672	0.371499456929	0.572714650437	0.470772259675	0.489079669164
IE5	0.407283370787	0.48409454432	0.498693870162	0.417058682896	0.542024382022	0.694995299625	0.291469694132	0.245281073658	0.0	0.181077028714	0.418159213483	0.297793626717	0.421990081149	0.359611441948	0.364747265918	0.47788872035	0.364293202247	0.280031872659	0.215278133583	0.402641853933	0.688945742821	0.625058913858	0.707970692884	0.480257877653	0.123283539326	0.338563302122	0.40510727216	0.319204307116	0.334409294632
IE7	0.258321947566	0.532551585518	0.540618264669	0.275116223471	0.548293770287	0.689011616729	0.239124525593	0.337534032459	0.181077028714	0.0	0.503219051186	0.334479806492	0.498968483146	0.434687571785	0.435724294632	0.52114644819	0.22655582397	0.143202871411	0.311289044944	0.247695387016	0.697123895131	0.612497927591	0.689297097378	0.545144369538	0.176913751561	0.395362178527	0.258711154806	0.271912946317	0.313357546816
