	P210	P212	1IS	IE9	P2-14	P2-11	IE3	IE2	IE5	IE7	IA9	IA8	IA5	IA4	IA7	P2-9	IA3	IA2	IL6	IE8	IS	P25	P24	IL4	IL2	IL3	IL1	P28	IL8
IA9	0.652493945069	0.497459188514	0.474992858926	0.675072453184	0.591366142322	0.656824550562	0.58042159176	0.21774545568	0.418159213483	0.503219051186	0.0	0.380063464419	0.174961741573	0.120792553059	0.0944651935081	0.436815099875	0.689633202247	0.588833583021	0.340584463171	0.717089032459	0.724241123596	0.594392871411	0.697340230961	0.352692384519	0.472868757803	0.487340430712	0.728869207241	0.601264694132	0.597182453184
IA8	0.450131404494	0.507302340824	0.48386232834	0.444887877653	0.563802141074	0.5059043196	0.431511872659	0.294296323346	0.297793626717	0.334479806492	0.380063464419	0.0	0.438994993758	0.384054469413	0.302662303371	0.485837378277	0.526792347066	0.442257621723	0.130462147316	0.548376479401	0.709062465668	0.592273576779	0.4444343196	0.535668745318	0.345529925094	0.377929126092	0.560328751561	0.449304575531	0.415642421973
IA5	0.708027621723	0.551815499376	0.558806972534	0.732271273408	0.638456373283	0.750060961298	0.661417166042	0.230253876404	0.421990081149	0.498968483146	0.174961741573	0.438994993758	0.0	0.102843358302	0.183842715356	0.515184169788	0.684823308365	0.593549419476	0.425890536829	0.72189113608	0.784078395755	0.716065	0.756043445693	0.370263127341	0.509394194757	0.541963682896	0.734060099875	0.624002740325	0.67396494382
IA4	0.641490343321	0.517005786517	0.525465024969	0.677629575531	0.594977009988	0.721758514357	0.593748801498	0.16046994382	0.359611441948	0.434687571785	0.120792553059	0.384054469413	0.102843358302	0.0	0.117480418227	0.47899906367	0.623994082397	0.524920655431	0.355926354557	0.663811885144	0.74829829588	0.677474038702	0.727287265918	0.350898358302	0.438023520599	0.468428052434	0.674967740325	0.556198707865	0.606591535581
IA7	0.594715755306	0.5112239201	0.491941510612	0.596164300874	0.583633870162	0.656968770287	0.519355786517	0.156568838951	0.364747265918	0.435724294632	0.0944651935081	0.302662303371	0.183842715356	0.117480418227	0.0	0.460130343321	0.625706360799	0.513816741573	0.285135749064	0.651812253433	0.732524769039	0.606238851436	0.639583676654	0.375990699126	0.421241479401	0.441978795256	0.664213851436	0.549995530587	0.529892240949
P2-9	0.622624151061	0.273047284644	0.222106785268	0.700489213483	0.321283102372	0.60508639201	0.593747602996	0.47007767166	0.47788872035	0.52114644819	0.436815099875	0.485837378277	0.515184169788	0.47899906367	0.460130343321	0.0	0.682288277154	0.607087022472	0.424991373283	0.707124781523	0.55419139201	0.506776922597	0.702309812734	0.490540205993	0.493640699126	0.369822134831	0.708699151061	0.484268283396	0.57096741573
IA3	0.252702627965	0.633445611735	0.702193726592	0.183815480649	0.609765224719	0.676734906367	0.265854556804	0.534024475655	0.364293202247	0.22655582397	0.689633202247	0.526792347066	0.684823308365	0.623994082397	0.625706360799	0.682288277154	0.0	0.154737347066	0.504321198502	0.0681690886392	0.681579781523	0.639730181024	0.681210948814	0.669711978777	0.338103932584	0.543199575531	0.0969506242197	0.328522440699	0.334774032459
IA2	0.258683270911	0.564402883895	0.62811454432	0.215314563046	0.562498389513	0.681920505618	0.233848982522	0.448785393258	0.280031872659	0.143202871411	0.588833583021	0.442257621723	0.593549419476	0.524920655431	0.513816741573	0.607087022472	0.154737347066	0.0	0.425046672909	0.188530018727	0.682985230961	0.615836154806	0.681776735331	0.571711622971	0.250482827715	0.466940730337	0.195685649189	0.291182746567	0.311913651685
IL6	0.420686498127	0.444503938826	0.428733064919	0.427405642946	0.504959394507	0.555280074906	0.360060237203	0.236485224719	0.215278133583	0.311289044944	0.340584463171	0.130462147316	0.425890536829	0.355926354557	0.285135749064	0.424991373283	0.504321198502	0.425046672909	0.0	0.530018189763	0.663953851436	0.53903448814	0.537171485643	0.468843289638	0.26719423221	0.277538476904	0.535123083645	0.40561417603	0.357042247191
IE8	0.244053789014	0.665204600499	0.721226260924	0.167288601748	0.633077634207	0.673584769039	0.290513932584	0.564585424469	0.402641853933	0.247695387016	0.717089032459	0.548376479401	0.72189113608	0.663811885144	0.651812253433	0.707124781523	0.0681690886392	0.188530018727	0.530018189763	0.0	0.681954625468	0.656527621723	0.66719917603	0.708063177278	0.359085106117	0.564562921348	0.0569971785268	0.343962503121	0.353697353308
IS	0.610280037453	0.501452297129	0.594074906367	0.666619681648	0.49515505618	0.650021991261	0.652992790262	0.732194369538	0.688945742821	0.697123895131	0.724241123596	0.709062465668	0.784078395755	0.74829829588	0.732524769039	0.55419139201	0.681579781523	0.682985230961	0.663953851436	0.681954625468	0.0	0.53640372035	0.705810118602	0.720725430712	0.669180493134	0.572941054931	0.672196785268	0.525102659176	0.585441254682
P25	0.569698177278	0.507670861423	0.529536803995	0.604362827715	0.267379238452	0.605672003745	0.511267072409	0.65868102372	0.625058913858	0.612497927591	0.594392871411	0.592273576779	0.716065	0.677474038702	0.606238851436	0.506776922597	0.639730181024	0.615836154806	0.53903448814	0.656527621723	0.53640372035	0.0	0.663925124844	0.653449001248	0.581826061174	0.540865212235	0.662577746567	0.518729425718	0.529524625468
P24	0.537798445693	0.669871217228	0.695899531835	0.54027360799	0.668411816479	0.205654669164	0.620708264669	0.719028782772	0.707970692884	0.689297097378	0.697340230961	0.4444343196	0.756043445693	0.727287265918	0.639583676654	0.702309812734	0.681210948814	0.681776735331	0.537171485643	0.66719917603	0.705810118602	0.663925124844	0.0	0.744771604245	0.670857028714	0.656409263421	0.663815018727	0.626149194757	0.582792421973
IL4	0.688486616729	0.48393102372	0.538670524345	0.722018957553	0.599904843945	0.702854038702	0.635750630462	0.398389088639	0.480257877653	0.545144369538	0.352692384519	0.535668745318	0.370263127341	0.350898358302	0.375990699126	0.490540205993	0.669711978777	0.571711622971	0.468843289638	0.708063177278	0.720725430712	0.653449001248	0.744771604245	0.0	0.481705948814	0.5189971598	0.720170992509	0.603263358302	0.652152690387
IL2	0.355125873908	0.490545087391	0.509041242197	0.358456004994	0.512361966292	0.659270024969	0.24211650437	0.315664862672	0.123283539326	0.176913751561	0.472868757803	0.345529925094	0.509394194757	0.438023520599	0.421241479401	0.493640699126	0.338103932584	0.250482827715	0.26719423221	0.359085106117	0.669180493134	0.581826061174	0.670857028714	0.481705948814	0.0	0.296515717853	0.360570474407	0.266470905119	0.26354536829
IL3	0.504836860175	0.412576248439	0.411453102372	0.542512034956	0.419993102372	0.627963071161	0.402812322097	0.371499456929	0.338563302122	0.395362178527	0.487340430712	0.377929126092	0.541963682896	0.468428052434	0.441978795256	0.369822134831	0.543199575531	0.466940730337	0.277538476904	0.564562921348	0.572941054931	0.540865212235	0.656409263421	0.5189971598	0.296515717853	0.0	0.564046454432	0.398748857678	0.409794794007
IL1	0.246581042447	0.66692417603	0.727567796504	0.163601460674	0.632872315855	0.679890424469	0.290793620474	0.572714650437	0.40510727216	0.258711154806	0.728869207241	0.560328751561	0.734060099875	0.674967740325	0.664213851436	0.708699151061	0.0969506242197	0.195685649189	0.535123083645	0.0569971785268	0.672196785268	0.662577746567	0.663815018727	0.720170992509	0.360570474407	0.564046454432	0.0	0.344760380774	0.343413171036
P28	0.262097752809	0.402435692884	0.528540049938	0.341531142322	0.405474019975	0.60831798377	0.252314912609	0.470772259675	0.319204307116	0.271912946317	0.601264694132	0.449304575531	0.624002740325	0.556198707865	0.549995530587	0.484268283396	0.328522440699	0.291182746567	0.40561417603	0.343962503121	0.525102659176	0.518729425718	0.626149194757	0.603263358302	0.266470905119	0.398748857678	0.344760380774	0.0	0.211016660424
IL8	0.269438795256	0.528461891386	0.600946460674	0.259014456929	0.499926360799	0.596178751561	0.144800299625	0.489079669164	0.334409294632	0.313357546816	0.597182453184	0.415642421973	0.67396494382	0.606591535581	0.529892240949	0.57096741573	0.334774032459	0.311913651685	0.357042247191	0.353697353308	0.585441254682	0.529524625468	0.582792421973	0.652152690387	0.26354536829	0.409794794007	0.343413171036	0.211016660424	0.0
