taxa	organ	pond	value
C111	Gut	Pond 1 (G1)	0.008320759
koll13	Gut	Pond 1 (G1)	0.001007693
Brevibacteriaceae	Gut	Pond 1 (G1)	0.000156395
Corynebacteriaceae	Gut	Pond 1 (G1)	0.000242963
Microbacteriaceae	Gut	Pond 1 (G1)	0.030523049
Propionibacteriaceae	Gut	Pond 1 (G1)	0.000571209
Nitriliruptoraceae	Gut	Pond 1 (G1)	0.000480177
Marinilabiaceae	Gut	Pond 1 (G1)	0.002992608
SB-1	Gut	Pond 1 (G1)	0.001113895
Flammeovirgaceae	Gut	Pond 1 (G1)	0.001833152
Amoebophilaceae	Gut	Pond 1 (G1)	0.001531823
Flavobacteriaceae	Gut	Pond 1 (G1)	0.002330113
A4b	Gut	Pond 1 (G1)	0.000410997
Gloeobacteraceae	Gut	Pond 1 (G1)	0.000996842
Nostocaceae	Gut	Pond 1 (G1)	0.000191645
Rivulariaceae	Gut	Pond 1 (G1)	0.000363638
Cyanobacteriaceae	Gut	Pond 1 (G1)	0.125100973
Xenococcaceae	Gut	Pond 1 (G1)	0.010842315
Phormidiaceae	Gut	Pond 1 (G1)	0.006319991
Pseudanabaenaceae	Gut	Pond 1 (G1)	0.006994167
Synechococcaceae	Gut	Pond 1 (G1)	0.019612586
Bacillaceae	Gut	Pond 1 (G1)	0.00381345
Thermoactinomycetaceae	Gut	Pond 1 (G1)	6.59893E-05
Clostridiaceae	Gut	Pond 1 (G1)	0.022802359
EtOH8	Gut	Pond 1 (G1)	0.000159558
Ruminococcaceae	Gut	Pond 1 (G1)	0.001029072
Fusobacteriaceae	Gut	Pond 1 (G1)	0.07216734
Pirellulaceae	Gut	Pond 1 (G1)	0.004867427
Planctomycetaceae	Gut	Pond 1 (G1)	0.002763232
Caulobacteraceae	Gut	Pond 1 (G1)	0.000862252
Bradyrhizobiaceae	Gut	Pond 1 (G1)	9.72515E-05
Hyphomicrobiaceae	Gut	Pond 1 (G1)	0.001056439
Methylobacteriaceae	Gut	Pond 1 (G1)	0.000410876
