taxa	organ	pond	sample	value
Synergistetes	Hepatopancreas	Pond 2 (G1)	HE2	0
Tenericutes	Hepatopancreas	Pond 2 (G1)	HE2	0.026475612
Verrucomicrobia	Hepatopancreas	Pond 2 (G1)	HE2	0.000664263
Actinobacteria	Hepatopancreas	Pond 2 (G1)	HE4	0.018911122
Bacteroidetes	Hepatopancreas	Pond 2 (G1)	HE4	0.002426851
Chloroflexi	Hepatopancreas	Pond 2 (G1)	HE4	0.000320527
Cyanobacteria	Hepatopancreas	Pond 2 (G1)	HE4	0.131416274
Firmicutes	Hepatopancreas	Pond 2 (G1)	HE4	0.001785796
Fusobacteria	Hepatopancreas	Pond 2 (G1)	HE4	0.005952654
Gemmatimonadetes	Hepatopancreas	Pond 2 (G1)	HE4	0.000183159
OP8	Hepatopancreas	Pond 2 (G1)	HE4	9.16E-05
Planctomycetes	Hepatopancreas	Pond 2 (G1)	HE4	0.001419479
Proteobacteria	Hepatopancreas	Pond 2 (G1)	HE4	0.835844132
Synergistetes	Hepatopancreas	Pond 2 (G1)	HE4	0
Tenericutes	Hepatopancreas	Pond 2 (G1)	HE4	0.000870003
Verrucomicrobia	Hepatopancreas	Pond 2 (G1)	HE4	0.000778424
Actinobacteria	Hepatopancreas	Pond 2 (G1)	HE5	0.026500326
Bacteroidetes	Hepatopancreas	Pond 2 (G1)	HE5	0.018672538
Chloroflexi	Hepatopancreas	Pond 2 (G1)	HE5	0.003913894
Cyanobacteria	Hepatopancreas	Pond 2 (G1)	HE5	0.535714286
Firmicutes	Hepatopancreas	Pond 2 (G1)	HE5	0.0030985
Fusobacteria	Hepatopancreas	Pond 2 (G1)	HE5	0.021852577
Gemmatimonadetes	Hepatopancreas	Pond 2 (G1)	HE5	0
OP8	Hepatopancreas	Pond 2 (G1)	HE5	8.15E-05
Planctomycetes	Hepatopancreas	Pond 2 (G1)	HE5	0.00611546
Proteobacteria	Hepatopancreas	Pond 2 (G1)	HE5	0.377853881
Synergistetes	Hepatopancreas	Pond 2 (G1)	HE5	0
Tenericutes	Hepatopancreas	Pond 2 (G1)	HE5	0.004240052
Verrucomicrobia	Hepatopancreas	Pond 2 (G1)	HE5	0.001956947
Actinobacteria	Hepatopancreas	Pond 2 (G1)	HE7	0.016786845
Bacteroidetes	Hepatopancreas	Pond 2 (G1)	HE7	0.003929648
Chloroflexi	Hepatopancreas	Pond 2 (G1)	HE7	0.001564229
Cyanobacteria	Hepatopancreas	Pond 2 (G1)	HE7	0.223303193
Firmicutes	Hepatopancreas	Pond 2 (G1)	HE7	0.005188661
Fusobacteria	Hepatopancreas	Pond 2 (G1)	HE7	0.030864904
Gemmatimonadetes	Hepatopancreas	Pond 2 (G1)	HE7	0
OP8	Hepatopancreas	Pond 2 (G1)	HE7	3.82E-05
Planctomycetes	Hepatopancreas	Pond 2 (G1)	HE7	0.001945748
Proteobacteria	Hepatopancreas	Pond 2 (G1)	HE7	0.683796879
Synergistetes	Hepatopancreas	Pond 2 (G1)	HE7	0
Tenericutes	Hepatopancreas	Pond 2 (G1)	HE7	0.030368929
Verrucomicrobia	Hepatopancreas	Pond 2 (G1)	HE7	0.002212811
Actinobacteria	Hepatopancreas	Pond 2 (G1)	HE8	0.002320268
Bacteroidetes	Hepatopancreas	Pond 2 (G1)	HE8	0.000356964
Chloroflexi	Hepatopancreas	Pond 2 (G1)	HE8	3.57E-05
Cyanobacteria	Hepatopancreas	Pond 2 (G1)	HE8	0.008602841
Firmicutes	Hepatopancreas	Pond 2 (G1)	HE8	0.007996002
Fusobacteria	Hepatopancreas	Pond 2 (G1)	HE8	0.257906761
Gemmatimonadetes	Hepatopancreas	Pond 2 (G1)	HE8	0
OP8	Hepatopancreas	Pond 2 (G1)	HE8	0
Planctomycetes	Hepatopancreas	Pond 2 (G1)	HE8	0.000142786
Proteobacteria	Hepatopancreas	Pond 2 (G1)	HE8	0.70100664
Synergistetes	Hepatopancreas	Pond 2 (G1)	HE8	0
Tenericutes	Hepatopancreas	Pond 2 (G1)	HE8	0.021632041
Verrucomicrobia	Hepatopancreas	Pond 2 (G1)	HE8	0
Actinobacteria	Hepatopancreas	Pond 1 (G1)	HL1	0.01237102
Bacteroidetes	Hepatopancreas	Pond 1 (G1)	HL1	0.000776656
Chloroflexi	Hepatopancreas	Pond 1 (G1)	HL1	0.000221902
Cyanobacteria	Hepatopancreas	Pond 1 (G1)	HL1	0.055419949
Firmicutes	Hepatopancreas	Pond 1 (G1)	HL1	0.013868856
Fusobacteria	Hepatopancreas	Pond 1 (G1)	HL1	0.117496949
Gemmatimonadetes	Hepatopancreas	Pond 1 (G1)	HL1	0
OP8	Hepatopancreas	Pond 1 (G1)	HL1	0
Planctomycetes	Hepatopancreas	Pond 1 (G1)	HL1	0.006601576
Proteobacteria	Hepatopancreas	Pond 1 (G1)	HL1	0.743259736
Synergistetes	Hepatopancreas	Pond 1 (G1)	HL1	0
Tenericutes	Hepatopancreas	Pond 1 (G1)	HL1	0.049650505
