taxa	organ	pond	sample	value
Firmicutes	Gut	Pond 1 (G1)	IL2	0.006001656
Fusobacteria	Gut	Pond 1 (G1)	IL2	0.031870861
Gemmatimonadetes	Gut	Pond 1 (G1)	IL2	0
OP8	Gut	Pond 1 (G1)	IL2	0.000206954
Planctomycetes	Gut	Pond 1 (G1)	IL2	0.005794702
Proteobacteria	Gut	Pond 1 (G1)	IL2	0.592715232
Synergistetes	Gut	Pond 1 (G1)	IL2	0.004966887
Tenericutes	Gut	Pond 1 (G1)	IL2	0.004759934
Verrucomicrobia	Gut	Pond 1 (G1)	IL2	0.001862583
Actinobacteria	Gut	Pond 1 (G1)	IL3	0.067884131
Bacteroidetes	Gut	Pond 1 (G1)	IL3	0.023173804
Chloroflexi	Gut	Pond 1 (G1)	IL3	0.006171285
Cyanobacteria	Gut	Pond 1 (G1)	IL3	0.309571788
Firmicutes	Gut	Pond 1 (G1)	IL3	0.151511335
Fusobacteria	Gut	Pond 1 (G1)	IL3	0.033501259
Gemmatimonadetes	Gut	Pond 1 (G1)	IL3	0.001511335
OP8	Gut	Pond 1 (G1)	IL3	0.000251889
Planctomycetes	Gut	Pond 1 (G1)	IL3	0.028589421
Proteobacteria	Gut	Pond 1 (G1)	IL3	0.375188917
Synergistetes	Gut	Pond 1 (G1)	IL3	0.000125945
Tenericutes	Gut	Pond 1 (G1)	IL3	0.000251889
Verrucomicrobia	Gut	Pond 1 (G1)	IL3	0.002267003
Actinobacteria	Gut	Pond 1 (G1)	IL4	0.006006153
Bacteroidetes	Gut	Pond 1 (G1)	IL4	0.005745723
Chloroflexi	Gut	Pond 1 (G1)	IL4	0.000569689
Cyanobacteria	Gut	Pond 1 (G1)	IL4	0.867067077
Firmicutes	Gut	Pond 1 (G1)	IL4	0.001676514
Fusobacteria	Gut	Pond 1 (G1)	IL4	0.00509465
Gemmatimonadetes	Gut	Pond 1 (G1)	IL4	6.51E-05
OP8	Gut	Pond 1 (G1)	IL4	0.000390644
Planctomycetes	Gut	Pond 1 (G1)	IL4	0.001025441
Proteobacteria	Gut	Pond 1 (G1)	IL4	0.111138239
Synergistetes	Gut	Pond 1 (G1)	IL4	0
Tenericutes	Gut	Pond 1 (G1)	IL4	3.26E-05
Verrucomicrobia	Gut	Pond 1 (G1)	IL4	0.001188209
Actinobacteria	Gut	Pond 1 (G1)	IL6	0.032050128
Bacteroidetes	Gut	Pond 1 (G1)	IL6	0.00626598
Chloroflexi	Gut	Pond 1 (G1)	IL6	0.002286723
Cyanobacteria	Gut	Pond 1 (G1)	IL6	0.381954698
Firmicutes	Gut	Pond 1 (G1)	IL6	0.004483417
Fusobacteria	Gut	Pond 1 (G1)	IL6	0.218571068
Gemmatimonadetes	Gut	Pond 1 (G1)	IL6	0.000504159
OP8	Gut	Pond 1 (G1)	IL6	0.00025208
Planctomycetes	Gut	Pond 1 (G1)	IL6	0.007598401
Proteobacteria	Gut	Pond 1 (G1)	IL6	0.344754943
Synergistetes	Gut	Pond 1 (G1)	IL6	0
Tenericutes	Gut	Pond 1 (G1)	IL6	0.000234074
Verrucomicrobia	Gut	Pond 1 (G1)	IL6	0.00104433
Actinobacteria	Gut	Pond 1 (G1)	IL8	0.129651442
Bacteroidetes	Gut	Pond 1 (G1)	IL8	0.003228199
Chloroflexi	Gut	Pond 1 (G1)	IL8	0.000130873
Cyanobacteria	Gut	Pond 1 (G1)	IL8	0.107315796
Firmicutes	Gut	Pond 1 (G1)	IL8	0.00191947
Fusobacteria	Gut	Pond 1 (G1)	IL8	0.13449374
Gemmatimonadetes	Gut	Pond 1 (G1)	IL8	0.000130873
OP8	Gut	Pond 1 (G1)	IL8	0
Planctomycetes	Gut	Pond 1 (G1)	IL8	0.00253021
Proteobacteria	Gut	Pond 1 (G1)	IL8	0.612179907
Synergistetes	Gut	Pond 1 (G1)	IL8	0.007067138
Tenericutes	Gut	Pond 1 (G1)	IL8	0
Verrucomicrobia	Gut	Pond 1 (G1)	IL8	0.001352354
