taxa	organ	pond	value
Acidimicrobiales	Gut	Pond 1 (G1)	0.011085412
Actinomycetales	Gut	Pond 1 (G1)	0.035568398
Nitriliruptorales	Gut	Pond 1 (G1)	0.000480177
Bacteroidales	Gut	Pond 1 (G1)	0.004563504
Cytophagales	Gut	Pond 1 (G1)	0.003364975
Flavobacteriales	Gut	Pond 1 (G1)	0.002330113
S0208	Gut	Pond 1 (G1)	0.00142483
SBR1031	Gut	Pond 1 (G1)	0.000410997
Chlorophyta	Gut	Pond 1 (G1)	0.002357253
Haptophyceae	Gut	Pond 1 (G1)	0.001895059
Rhodophyta	Gut	Pond 1 (G1)	3.88404E-05
Stramenopiles	Gut	Pond 1 (G1)	0.145365336
Gloeobacterales	Gut	Pond 1 (G1)	0.000996842
Nostocales	Gut	Pond 1 (G1)	0.000243933
Stigonematales	Gut	Pond 1 (G1)	0.000363638
Chroococcales	Gut	Pond 1 (G1)	0.137144741
Oscillatoriales	Gut	Pond 1 (G1)	0.006319991
Pseudanabaenales	Gut	Pond 1 (G1)	0.006994167
Synechococcales	Gut	Pond 1 (G1)	0.019612586
Bacillales	Gut	Pond 1 (G1)	0.003879439
Clostridiales	Gut	Pond 1 (G1)	0.023990989
SHA-98	Gut	Pond 1 (G1)	0.000169994
Fusobacteriales	Gut	Pond 1 (G1)	0.074339398
Pirellulales	Gut	Pond 1 (G1)	0.004867427
Planctomycetales	Gut	Pond 1 (G1)	0.002763232
Caulobacterales	Gut	Pond 1 (G1)	0.000862252
Kiloniellales	Gut	Pond 1 (G1)	0.000540017
Rhizobiales	Gut	Pond 1 (G1)	0.001939869
Rhodobacterales	Gut	Pond 1 (G1)	0.024927234
Rhodospirillales	Gut	Pond 1 (G1)	0.001924243
Rickettsiales	Gut	Pond 1 (G1)	0.002040481
Sphingomonadales	Gut	Pond 1 (G1)	0.00042646
Burkholderiales	Gut	Pond 1 (G1)	0.002105209
Desulfobacterales	Gut	Pond 1 (G1)	0.005398601
Desulfovibrionales	Gut	Pond 1 (G1)	0.010974401
Desulfuromonadales	Gut	Pond 1 (G1)	0.000294617
Myxococcales	Gut	Pond 1 (G1)	0.000384412
Aeromonadales	Gut	Pond 1 (G1)	0.001410655
Alteromonadales	Gut	Pond 1 (G1)	0.011472442
Chromatiales	Gut	Pond 1 (G1)	0.000265638
