group	value
Gut	2.160480407
Gut	1.028089392
Gut	2.19349101
Gut	1.43840903
Gut	1.85304445
Gut	1.700076552
Gut	2.093432247
Gut	1.557560462
Gut	2.038728627
Gut	2.360710561
Gut	1.830140624
Gut	1.858644039
Gut	1.821726802
Gut	2.507767823
Gut	1.608244356
Gut	1.679584909
Gut	1.876282317
Gut	2.18211473
Gut	1.563104024
Gut	1.612733272
Gut	1.680331142
Gut	2.1597279
Gut	2.37831942
Gut	1.252175929
Gut	2.296712872
Gut	1.600405503
Gut	1.547571673
Gut	1.771721769
Gut	2.208821252
Gut	1.857714445
Gut	2.281265621
Gut	2.055506571
Gut	1.992396726
Gut	1.946836453
Gut	2.03465151
Gut	1.901294141
Gut	2.04449875
Gut	2.418819921
Gut	1.911668622
Gut	1.865769487
Gut	2.27770682
Gut	1.798248372
Gut	2.038368707
Gut	2.321899656
Gut	2.123459994
Gut	1.812220261
Gut	2.022811106
Gut	1.765361795
Gut	2.176328245
Gut	2.156399803
Gut	1.833297666
Gut	1.888405984
Gut	1.94910297
Gut	2.037162186
Gut	2.224186938
Gut	0.77592578
Gut	2.393368747
Gut	1.829011742
Gut	1.410998403
Gut	2.238778465
Gut	1.64170371
Gut	1.743472967
Gut	2.221796165
Gut	1.971766465
Gut	1.90961394
Gut	2.305017855
Gut	2.223895638
Gut	1.683011952
Gut	1.972476982
Gut	2.258842361
Gut	1.672083668
Gut	1.99894231
Gut	2.198459157
Gut	1.639463817
Gut	2.069040183
Gut	2.062353341
Gut	2.236062324
Gut	2.184896659
Gut	0.602088183
Gut	2.076985195
Gut	1.263654432
Gut	1.759102788
Gut	1.931438967
Gut	2.061195824
Gut	2.308608738
Gut	1.964948726
Gut	2.236023498
Gut	1.42208533
Gut	2.554747948
Gut	2.415365325
Gut	1.958692513
Gut	2.112317057
Gut	2.2534341
Gut	0.542579544
Gut	2.17491406
Gut	1.583433286
Gut	1.641612392
Gut	2.066112532
Gut	1.842995728
Gut	2.051401992
Gut	2.363581198
Gut	2.229686333
Gut	2.238933732
Gut	1.380693867
Gut	1.435141672
Gut	2.09286755
Gut	1.59498178
Gut	1.847397217
Gut	1.214617327
Gut	1.741877628
Gut	2.24516881
Gut	2.306792722
Gut	2.043889061
Gut	2.297084183
Gut	1.997144726
Gut	1.465151737
Gut	2.017496269
Gut	1.639666151
Gut	1.246269247
Gut	2.065477278
Gut	1.6773724
Gut	1.626731204
Gut	1.688247778
Gut	2.048395876
Gut	2.221216961
Gut	1.849912235
Gut	1.048602972
Gut	2.155386117
Gut	2.120804356
Gut	1.364976694
Gut	2.361346922
Gut	2.023150737
Gut	1.945868722
Gut	1.245884489
Gut	1.505050891
Gut	1.672496966
Gut	2.20082474
Gut	1.552168375
Gut	2.076207457
Gut	2.071025775
Gut	1.011054005
Gut	1.885159266
Gut	1.828108306
Gut	1.458507822
Gut	2.160191377
Gut	2.186184821
Gut	2.287458326
Gut	1.753703974
Gut	2.230039229
Gut	1.84141482
Gut	1.580818536
Gut	2.131542166
Gut	2.354219863
Gut	2.549006042
Gut	1.851766378
Gut	1.996122637
Gut	1.025924566
Gut	1.003165921
Gut	2.298052955
Gut	1.074092261
Gut	2.39355025
Gut	2.238108406
Gut	1.810571604
Gut	1.584131425
Gut	1.284759967
Gut	2.170635921
Gut	2.290153018
Gut	2.275218192
Gut	1.836134738
Gut	2.025181365
Gut	1.573392056
Gut	1.831373799
Gut	2.181524305
Gut	2.016592342
Gut	1.468060203
Gut	1.920206921
Gut	2.202621613
Gut	2.164710945
Gut	2.167489534
Gut	2.090266257
Gut	2.394101577
Gut	2.2163436
Gut	2.203569264
Gut	1.542165828
Gut	1.156036141
Gut	1.433841341
Gut	2.428733353
Gut	2.302313371
Gut	1.039720771
Gut	2.043674143
Gut	0.562335145
Gut	2.220539432
Gut	2.411863125
Gut	2.109394962
Gut	2.126526368
Gut	2.032358058
Gut	1.9794496
Gut	2.009579836
Gut	1.961882635
Gut	2.274097981
Gut	1.885829422
Gut	1.884863522
Gut	2.073411519
Gut	2.115197337
Gut	1.488246991
Gut	0.494021792
Gut	2.251230896
Gut	1.518087594
Gut	1.610826387
Gut	0
Gut	1.903790584
Gut	2.316053569
Gut	1.746795392
Gut	1.708655947
Gut	2.331239848
Gut	2.371451638
Gut	2.369353069
Gut	1.932869599
Gut	1.63735156
Gut	1.857582739
Gut	2.293412205
Gut	2.018695415
