SampleID	Pond	pc1(0.253863540954829)	pc2(0.13696005199046)
IL8	Pond A (Gen1)	-0.095041803	-0.020021369
IL6	Pond A (Gen1)	-0.199422512	0.029313488
IL4	Pond A (Gen1)	-0.291171986	-0.075791155
IL3	Pond A (Gen1)	-0.28287243	0.001927265
IL2	Pond A (Gen1)	-0.214855258	-0.099694754
IL1	Pond A (Gen1)	0.228259463	-0.235327781
IE9	Pond B (Gen1)	0.275440097	-0.33598523
IE8	Pond B (Gen1)	0.210243279	-0.207461471
IE7	Pond B (Gen1)	0.021828364	-0.203263038
IE5	Pond B (Gen1)	-0.209423749	-0.118368295
IE3	Pond B (Gen1)	-0.131784286	-0.036305624
IE2	Pond B (Gen1)	-0.207596918	-0.181088687
HL7	Pond A (Gen1)	-0.115840229	0.22741686
HL5	Pond A (Gen1)	-0.091099103	0.236527357
HL4	Pond A (Gen1)	-0.028140055	0.068211013
HL2	Pond A (Gen1)	-0.181944863	0.111195783
HL1	Pond A (Gen1)	0.353401328	0.171356298
HE8	Pond B (Gen1)	0.417477273	0.106547243
HE7	Pond B (Gen1)	0.040583002	0.084811735
HE5	Pond B (Gen1)	-0.075548885	0.144087942
HE4	Pond B (Gen1)	0.171576636	0.13155695
HE2	Pond B (Gen1)	0.141581479	0.121708079
HE1	Pond B (Gen1)	0.264351156	0.078647392
