sample	group	chao1_allprobiotics	observed_otus_allprobiotics	shannon_allprobiotics	simpson_allprobiotics	chao1_genus	observed_otus_genus	shannon_genus	simpson_genus	chao1_species	observed_otus_species	shannon_species	simpson_species
7A	Healthy	7.945	6.687	0.119	0.027	5.908	4.735	0.101	0.024	1.967	1.952	0.886	0.432
68-BI	Healthy	9.41	7.658	1.072	0.365	6.103	5.169	0.965	0.346	2.682	2.489	0.995	0.424
139-I	Healthy	11.873	9.875	0.333	0.08	5.562	4.605	0.192	0.05	5.529	5.27	1.708	0.632
2-BI	Disease	8.67	6.851	0.157	0.036	5.266	4.447	0.123	0.029	2.691	2.404	0.942	0.397
27-BI	Disease	7.725	5.441	0.681	0.221	6.473	4.99	0.66	0.217	0.526	0.451	nan	nan
49-BI	Disease	8.829	6.917	0.154	0.034	6.266	5.262	0.122	0.028	1.657	1.655	0.42	0.18
