sample	group	relab_hep_species
sample1	Gen1	2.87929E-05
sample2	Gen1	2.50277E-05
sample3	Gen1	0.001483499
sample4	Gen1	5.4928E-05
sample5	Gen1	0
sample6	Gen1	0.000175637
sample7	Gen1	0
sample8	Gen1	0.000130233
sample9	Gen1	2.67996E-05
sample10	Gen1	0.000226135
sample11	Gen1	0.000708306
sample12	Gen1	0.001175637
sample13	Gen1	0.000180731
sample14	Gen1	0.000313178
sample15	Gen1	0.000144629
sample16	Gen1	2.25914E-05
sample17	Gen1	0.000928239
sample18	Gen1	2.76855E-05
sample19	Gen1	0.013402215
sample20	Gen1	0.000528018
sample21	Gen1	0.027437431
sample22	Gen1	0.002236102
sample23	Gen2	0
sample24	Gen2	8.26135E-05
sample25	Gen2	0
sample26	Gen2	3.01218E-05
sample27	Gen2	0.000459358
sample28	Gen2	0.000166777
sample29	Gen2	9.14729E-05
sample30	Gen2	0.000109413
sample31	Gen2	0
sample32	Gen2	2.85714E-05
sample33	Gen2	0.000257143
sample34	Gen2	0
sample35	Gen2	0.000232337
sample36	Gen2	0.000122481
sample37	Gen2	8.06202E-05
sample38	Gen2	0.000242968
sample39	Gen2	0.000543965
sample40	Gen2	0.000901883
sample41	Gen2	0.003706977
sample42	Gen2	0.000114286
sample43	Gen2	0.000431672
sample44	Gen2	0.000675305
