sample	group	Aeromonas	Afifella	Bacillus	Bdellovibrio	Bowmanella	Clostridium	Ectothiorhodospira	Enterobacter	Enterococcus	Exiguobacterium	Glutamicibacter	Lactobacillus	Lactococcus	Marinomonas	Phaeobacter	Pseudoalteromonas	Pseudomonas	Rhodobacter	Rhodopseudomonas	Shewanella	Staphylococcus	Streptococcus	Streptomyces	Vibrio	Weissella	Bacillus amyloliquefaciens	Bacillus aryabhattai	Bacillus cereus	Bacillus endophyticus	Bacillus firmus	Bacillus foraminis	Bacillus licheniformis	Bacillus megaterium	Bacillus pumilus	Bacillus subtilis	Bacillus thuringiensis	Bacillus vireti	Enterobacter hormaechei	Pseudoalteromonas flavipulchra	Pseudoalteromonas ruthenica	Rhodopseudomonas palustris	Shewanella algae	Staphylococcus haemolyticus	Streptococcus salivarius	Vibrio alginolyticus	Vibrio fluvialis	Vibrio gazoGen es	Vibrio Hepatopancreasatarius	Vibrio mediterranei
IL8	Intestine Gen 1	-3.00064758134604	-7	-3.07027615334753	-4.43062609038495	-7	-3.82970013879207	-7	-3.0170362577675	-7	-3.58678911608456	-4.43062609038495	-7	-4.13018179202067	-3.58678911608456	-7	-2.07986712142368	-2.80877765118417	-7	-7	-3.52881834371596	-2.580027738726	-3.82970013879207	-3.82944494147879	-0.361536671699114	-7	-7	-4.43062609038495	-7	-7	-4.13018179202067	-7	-4.43062609038495	-7	-7	-7	-7	-7	-4.43062609038495	-7	-4.43062609038495	-7	-4.13018179202067	-3.95428594105913	-4.13018179202067	-3.82944494147879	-7	-7	-3.08932224525729	-3.73284939995058
IA2	Intestine Gen 2	-3.56937355349372	-7	-3.58095011336772	-7	-7	-4.44855000202713	-7	-3.37106471364816	-7	-7	-7	-7	-7	-5.14327110961712	-5.14327110961712	-2.39901621987617	-3.75113207676207	-7	-7	-3.32968084271939	-7	-7	-4.1944991418416	-0.154281920079782	-7	-7	-7	-7	-7	-5.14327110961712	-7	-7	-5.14327110961712	-5.14327110961712	-4.84466396253494	-7	-4.66958622665081	-5.14327110961712	-4.44855000202713	-7	-7	-3.78754603895972	-7	-7	-2.53651881587655	-7	-7	-3.97281761759706	-3.16248289796661
IA3	Intestine Gen 2	-3.79279664069197	-7	-2.80338007169283	-4.54515513999149	-5.01908806222316	-3.26034855629062	-7	-3.31585599774593	-7	-7	-7	-7	-7	-5.01908806222316	-7	-2.44975941346983	-3.60836634679993	-7	-5.01908806222316	-3.41062015575808	-7	-7	-4.42021640338319	-0.071604096529317	-7	-5.01908806222316	-7	-4.72124639904717	-7	-4.72124639904717	-7	-7	-7	-5.01908806222316	-4.02319166266193	-7	-4.32330639037513	-7	-5.01908806222316	-7	-5.01908806222316	-3.79290445958078	-7	-7	-2.63610722953296	-7	-7	-7	-3.267560400401
IA4	Intestine Gen 2	-3.35680600316076	-7	-2.82539715476603	-7	-7	-7	-7	-3.75459838758664	-7	-7	-7	-7	-7	-7	-7	-2.27771554543198	-7	-7	-7	-2.85172411430064	-4.05551732784983	-7	-7	-1.16045186780265	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-3.57858858721081	-7	-7	-7	-7	-4.05551732784983	-7	-7	-3.75424064403272	-7	-7	-3.75459838758664	-7
IA5	Intestine Gen 2	-3.94968986018769	-7	-3.70681871541633	-7	-7	-4.55129368009492	-7	-3.64885523693299	-7	-7	-7	-7	-7	-7	-7	-1.66958419724208	-3.67687170687488	-7	-7	-3.94968986018769	-7	-7	-7	-1.01137096416932	-7	-7	-7	-7	-7	-7	-7	-4.85078088734462	-7	-4.85078088734462	-7	-7	-4.85078088734462	-7	-7	-7	-7	-4.85078088734462	-7	-7	-3.89928491342692	-4.85078088734462	-7	-3.85285875931478	-4.00744648216786
IA7	Intestine Gen 2	-3.56382939892069	-7	-3.30768195574072	-5.55595520408192	-5.55595520408192	-4.39577394691553	-7	-3.5815329790534	-5.26360349772336	-7	-7	-7	-7	-5.55595520408192	-5.08990945440593	-2.81245107913873	-3.39638909271279	-7	-7	-3.88205954466811	-5.26360349772336	-5.26360349772336	-4.79048498545737	-0.850780579334458	-7	-7	-5.55595520408192	-7	-7	-5.26360349772336	-7	-7	-5.55595520408192	-5.55595520408192	-4.96657624451305	-7	-4.6675615400844	-4.79048498545737	-5.26360349772336	-7	-7	-4.22914798835786	-7	-7	-3.21246868387277	-5.55595520408192	-7	-3.36030139574004	-4.0670191780768
IA8	Intestine Gen 2	-4.47108329972235	-7	-3.6264940088501	-7	-7	-7	-7	-3.6264940088501	-7	-7	-7	-7	-7	-7	-7	-2.86968360363171	-3.39248707471446	-7	-7	-4.47108329972235	-7	-7	-3.99422767116766	-0.560138529608751	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-4.47108329972235	-7	-7	-7	-7	-3.05675287486214	-7	-7	-7	-3.99422767116766
IA9	Intestine Gen 2	-3.81864526838064	-7	-2.59213154925907	-4.6615435063954	-4.6615435063954	-2.14682855275817	-7	-3.96465833045499	-7	-7	-7	-7	-7	-7	-4.6615435063954	-2.93971701454441	-3.28373615781781	-7	-7	-4.36151074304536	-4.6615435063954	-7	-7	-1.29093368774937	-3.96465833045499	-7	-7	-7	-7	-4.6615435063954	-4.6615435063954	-4.6615435063954	-7	-4.06148027482351	-3.96617430604669	-7	-4.36151074304536	-4.6615435063954	-7	-7	-7	-7	-7	-7	-3.58468269341299	-7	-7	-7	-4.36151074304536
7A	Intestine healthy	-7	-7	-3.15253222576911	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-2.04829727363945	-3.99725958023648	-7	-7	-7	-3.99725958023648	-3.99725958023648	-3.99725958023648	-0.085523168993073	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-3.15253222576911	-7	-7	-3.2194688342836	-7
68-BI	Intestine healthy	-7	-4.93930215964639	-3.47481909214023	-5.11294562194904	-7	-1.90308651264999	-7	-7	-7	-4.71896663275227	-7	-7	-7	-7	-7	-1.83564416960601	-4.8153085691824	-7	-7	-5.40782324260413	-4.8153085691824	-4.3767507096021	-4.41793663708829	-0.967553061176886	-7	-7	-7	-7	-7	-4.8153085691824	-5.40782324260413	-5.40782324260413	-7	-7	-7	-7	-5.40782324260413	-7	-7	-7	-7	-7	-7	-7	-3.3155388537946	-7	-7	-2.88284044180146	-3.95664165226346
139-I	Intestine healthy	-7	-7	-2.59916371908902	-7	-7	-3.74506782555444	-7	-7	-7	-7	-7	-7	-7	-4.04575749056068	-7	-1.82622806229613	-7	-7	-7	-7	-7	-4.04575749056068	-7	-0.170696162829057	-7	-7	-7	-4.04575749056068	-7	-7	-7	-3.3472722362798	-7	-7	-3.09204288921221	-7	-7	-7	-7	-7	-7	-7	-7	-7	-2.33032643769367	-7	-7	-2.32205404672516	-3.3472722362798
2-BI	Intestine diseased	-7	-7	-3.2025018663907	-7	-7	-4.16557929631847	-7	-7	-7	-4.68613277963085	-7	-7	-7	-7	-7	-2.23061528802609	-4.26280735729526	-7	-7	-5.15989390554324	-4.12436006299583	-4.21112488422458	-3.98984426664453	-0.345783158234336	-7	-7	-7	-7	-7	-4.86327943284359	-5.15989390554324	-7	-7	-7	-7	-7	-4.86327943284359	-7	-7	-7	-7	-7	-7	-7	-2.9649218423867	-7	-7	-3.64765151660246	-3.67479231051708
27-BI	Intestine diseased	-7	-7	-3.21552036273568	-4.07520400420209	-7	-4.37571790416433	-7	-7	-7	-7	-7	-7	-7	-7	-7	-2.4475289034227	-4.19997064075587	-4.67571754470231	-7	-4.19997064075587	-4.37571790416433	-4.07520400420209	-3.97860807744698	-1.46767018894273	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-4.67571754470231	-7	-7	-7	-7	-7	-7	-4.67571754470231	-4.37571790416433	-7	-7	-7	-4.67571754470231
49-BI	Intestine diseased	-7	-7	-3.22562392911531	-3.52658018654319	-7	-3.82746420283009	-7	-7	-7	-7	-7	-7	-7	-7	-7	-2.35062590075661	-7	-7	-7	-7	-7	-7	-3.82746420283009	-0.402059539867461	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-2.92463044216226	-7	-7	-3.82746420283009	-7
