	HA1	HA2	HA5	HA7	HA8	HE1	HE2	HE4	HE5	HE7	HE8	HL1	HL2	HL4	HL5	HL7	IA2	IA3	IA4	IA5	IA7	IA8	IA9	IE2	IE3	IE5	IE7	IE8	IE9	IL1	IL2	IL3	IL4	IL6	IL8
HA1	0	-0.233171256	-0.340305679	-0.374561287	-0.396110533	-0.403671559	-0.441231064	-0.414561566	-0.35450356	-0.411779182	-0.578520409	-0.562098053	-0.326818925	-0.413399295	-0.404347477	-0.356068225	-0.561040923	-0.533009844	-0.474469101	-0.625149573	-0.534088031	-0.619990051	-0.424380911	-0.491502489	-0.439664085	-0.444474816	-0.560864902	-0.591077925	-0.681759957	-0.592958285	-0.419348207	-0.37925961	-0.527441057	-0.379475001	-0.451809516
HA2	-0.233171256	0	-0.322090851	-0.344610763	-0.338555387	-0.420544873	-0.402249456	-0.394710861	-0.351482265	-0.419901848	-0.537883176	-0.519110034	-0.317604601	-0.409068134	-0.354815225	-0.348615779	-0.529913784	-0.494325243	-0.442302163	-0.615999914	-0.5226109	-0.604544147	-0.411753677	-0.471414354	-0.438411599	-0.421511622	-0.534142475	-0.553933848	-0.678613289	-0.563247585	-0.436922962	-0.382670533	-0.520903076	-0.374095417	-0.432562591
HA5	-0.340305679	-0.322090851	0	-0.387325344	-0.421790307	-0.392928548	-0.360186417	-0.349643207	-0.305099962	-0.377691397	-0.587225369	-0.560519997	-0.260366934	-0.401956487	-0.334218306	-0.286658512	-0.539016921	-0.48197441	-0.455573489	-0.546577307	-0.406537216	-0.581312525	-0.410850134	-0.43160293	-0.420409963	-0.440553779	-0.502944245	-0.532357134	-0.672751928	-0.591377297	-0.387159759	-0.354086584	-0.503382016	-0.358239304	-0.452353738
HA7	-0.374561287	-0.344610763	-0.387325344	0	-0.315481598	-0.386381266	-0.391978529	-0.388758468	-0.418547275	-0.449887989	-0.452757286	-0.425235255	-0.429755464	-0.448444818	-0.441825667	-0.436385397	-0.57945844	-0.501398064	-0.535704064	-0.616110232	-0.545966828	-0.580964074	-0.487224588	-0.529155579	-0.477034551	-0.551294329	-0.582681851	-0.562386173	-0.635973223	-0.505747029	-0.51993621	-0.501728539	-0.573389056	-0.446381594	-0.485572002
HA8	-0.396110533	-0.338555387	-0.421790307	-0.315481598	0	-0.416137081	-0.427237662	-0.438175755	-0.418516165	-0.447027894	-0.454116256	-0.451798237	-0.438514934	-0.475003814	-0.464889759	-0.47454556	-0.580817671	-0.547293965	-0.554784338	-0.637581048	-0.554950459	-0.606586825	-0.501644228	-0.588289638	-0.512102272	-0.555737182	-0.56859399	-0.582968562	-0.633056775	-0.544659336	-0.522586493	-0.520211204	-0.602315802	-0.489196154	-0.476810334
HE1	-0.403671559	-0.420544873	-0.392928548	-0.386381266	-0.416137081	0	-0.316560159	-0.315669876	-0.370605723	-0.357569966	-0.416988726	-0.442481298	-0.390048281	-0.407700164	-0.441794893	-0.419495506	-0.557528618	-0.50031807	-0.546001036	-0.606973131	-0.505173278	-0.53740544	-0.512430526	-0.496999731	-0.433117965	-0.450521249	-0.466166349	-0.482512059	-0.616455943	-0.508276981	-0.446835394	-0.497382601	-0.57957637	-0.447856715	-0.485410321
HE2	-0.441231064	-0.402249456	-0.360186417	-0.391978529	-0.427237662	-0.316560159	0	-0.319420357	-0.354686813	-0.326749591	-0.45958095	-0.470116948	-0.365643114	-0.444735451	-0.41353954	-0.390710387	-0.533396153	-0.478702685	-0.526414671	-0.58631686	-0.477078723	-0.526651207	-0.494456319	-0.475782172	-0.453161799	-0.501943651	-0.471720035	-0.482806281	-0.634975057	-0.53914558	-0.470050024	-0.485514641	-0.570515275	-0.442102043	-0.477484896
HE4	-0.414561566	-0.394710861	-0.349643207	-0.388758468	-0.438175755	-0.315669876	-0.319420357	0	-0.292036843	-0.342363922	-0.450818546	-0.466716264	-0.367266177	-0.436775685	-0.370156736	-0.383390513	-0.555432779	-0.522452956	-0.523182441	-0.556597462	-0.525395455	-0.555688291	-0.481038746	-0.478666754	-0.421081266	-0.467672572	-0.464759849	-0.452917756	-0.601865042	-0.494486388	-0.45818172	-0.450753178	-0.537128513	-0.41268066	-0.490735685
HE5	-0.35450356	-0.351482265	-0.305099962	-0.418547275	-0.418516165	-0.370605723	-0.354686813	-0.292036843	0	-0.317571295	-0.535692476	-0.549050863	-0.249842858	-0.4184167	-0.324162141	-0.29684985	-0.546283822	-0.533838246	-0.485491251	-0.596982644	-0.479322957	-0.589000325	-0.385296347	-0.40743524	-0.379849323	-0.345618245	-0.483223765	-0.508898175	-0.670600276	-0.601513329	-0.380325504	-0.322184199	-0.491892829	-0.361770588	-0.43111623
HE7	-0.411779182	-0.419901848	-0.377691397	-0.449887989	-0.447027894	-0.357569966	-0.326749591	-0.342363922	-0.317571295	0	-0.446945818	-0.476535479	-0.326809717	-0.405045392	-0.331414346	-0.372487162	-0.54282573	-0.537524905	-0.524687214	-0.59004826	-0.544646361	-0.525220069	-0.456259878	-0.460091474	-0.427440388	-0.442313499	-0.459209282	-0.489554432	-0.622763081	-0.568482094	-0.455713422	-0.440741035	-0.541684531	-0.399523835	-0.481774642
