sample	group	relab_gut_genus	relab_gut_species	log10_gut_genus	log10_gut_species
IE2	Gen1	0.245295965	0.001978545	-0.610309596	-2.703654158
IE5	Gen1	0.41995344	0.003767847	-0.376798857	-2.423906763
IE7	Gen1	0.463357006	0.002857261	-0.334084266	-2.544050147
IL8	Gen1	0.447824018	0.001720288	-0.348892618	-2.764398733
IL1	Gen1	0.857460558	0.003659972	-0.066785848	-2.436522275
IL3	Gen1	0.246057616	0.004316800	-0.608963188	-2.364838044
IL6	Gen1	0.249041423	0.002844302	-0.603728411	-2.546024298
IE3	Gen1	0.531457117	0.004995549	-0.274531772	-2.301416818
IE9	Gen1	0.782391891	0.006893921	-0.10657566	-2.161533709
IL2	Gen1	0.399339934	0.003795380	-0.398657258	-2.420744788
IL4	Gen1	0.030954391	0.000629678	-1.509277732	-3.200881575
IE8	Gen1	0.877717685	0.003677664	-0.056645151	-2.434427998
IA3	Gen2	0.853738088	0.003252155	-0.068675343	-2.487828697
IA2	Gen2	0.705707512	0.003991366	-0.15137526	-2.398878425
IA5	Gen2	0.119684576	0.000434198	-0.921961814	-3.362312187
IA7	Gen2	0.143709472	0.001265904	-0.842514605	-2.897599255
IA9	Gen2	0.063104491	0.000647668	-1.199939735	-3.188647296
IA4	Gen2	0.078235757	0.000700096	-1.106594709	-3.15484224
IA8	Gen2	0.277358491	0.001010782	-0.556958535	-2.995342642
